"step","force_x"
0.0,-0.0022752373
1000.0,0.06890239
2000.0,0.07280200719833374
3000.0,0.06464830040931702
4000.0,-0.19146016240119934
5000.0,-0.4341587722301483
6000.0,-0.5828207731246948
7000.0,-0.7082613706588745
8000.0,-0.8077993988990784
9000.0,-0.8997896909713745
10000.0,-0.9853172302246094
11000.0,-1.0272166728973389
12000.0,-1.1214336156845093
13000.0,-1.1064560413360596
14000.0,-1.0312541723251343
15000.0,-1.1630727052688599
16000.0,-1.260263204574585
17000.0,-0.26204735040664673
18000.0,-1.2483818531036377
19000.0,-1.2918862104415894
20000.0,-1.1877555847167969
21000.0,-1.3599430322647095
22000.0,-1.1835205554962158
23000.0,-1.0945947170257568
